,,,,,,Issue_01
,,,,,,
,Topic,Q_MAP & ET_MAP for Yunnei D30,,,,
,Description,ET_MAP measured is used for nozzle definition and engine first firing in B sample,,,,
,System,CRS2-16 with CP1H-16/3 for EU4 project,,,,
,Injectors,"B445161507_00-202481,202482,202484,202483 (Mean Value Injector)",,,,
,Nozzle,PN=B433208835,lift=0.85mm,"Qhyd=500cm3/30s
@100bar",Ks=0,"DSP=0.162mm
(7 holes)"
,No.,12/056,Date,2012.07.12,Reference,Qiang Min
,,,,,,
,1. Q_MAP of injector measured respectively,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Section Manager:,RBCD/ESD1,Phone:  +86 510 8110 6660,,Date:,Signature:
,Depart. Manager:,RBCD/ESD,Phone:  +86 510 8533 5300,,Date:  ,Signature:
,Note(s):,-,Report sent to the customer:         Internal,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,2. Q_MAP of all injectors,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,3. Mean Q_MAP of all injectors,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,4. ET_MAP,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,5. Summary,,,,,
,"In the Q-MAP of all measurings, it shows normal behavior and good repeatibility concerning injection quantity.
To ensure the accuracy, the mean value injector with SN:202483 is measured three times. The ET-MAP created is based on the average value of mean value injector measured. 

",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,RBCD/ESD1,,,,,
,Qiang Min,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,6. Attachment-Test Sepcification,,,,,
,,,,,,
